"","harvest","block","sow","yield","sugpct"
"1","harv1","block1","sow3",128,17.1
"2","harv1","block1","sow4",118,16.9
"3","harv1","block1","sow5",95,16.6
"4","harv1","block1","sow2",131,17
"5","harv1","block1","sow1",136.5,17
"6","harv2","block2","sow3",136.5,17
"7","harv2","block2","sow2",150,17
"8","harv2","block2","sow4",140,16.7
"9","harv2","block2","sow5",99.5,16.4
"10","harv2","block2","sow1",156,16.8
"11","harv1","block3","sow5",99,16.6
"12","harv1","block3","sow2",128,16.9
"13","harv1","block3","sow3",126,17.1
"14","harv1","block3","sow4",120.5,16.8
"15","harv1","block3","sow1",137.5,16.9
"16","harv2","block1","sow2",147,17
"17","harv2","block1","sow1",153.5,16.8
"18","harv2","block1","sow5",100,16.5
"19","harv2","block1","sow4",139,16.7
"20","harv2","block1","sow3",141,17
"21","harv1","block2","sow4",115.5,16.8
"22","harv1","block2","sow1",135,16.9
"23","harv1","block2","sow3",130,17
"24","harv1","block2","sow2",134,17
"25","harv1","block2","sow5",91.5,16.5
"26","harv2","block3","sow1",155,16.7
"27","harv2","block3","sow4",140.5,16.6
"28","harv2","block3","sow3",142,16.9
"29","harv2","block3","sow2",151,16.9
"30","harv2","block3","sow5",102,16.4
